category,rim_demos,fix_demos,final_demos
apple,1100,1100,1100
apricot,450,450,450
asparagus,515,501,519
avocado,850,850,850
baguette,857,844,900
banana,1050,1050,1050
bar,823,824,850
bar_soap,600,600,600
beer,1100,1100,1100
beet,100,100,100
bell_pepper,200,200,200
bottled_drink,950,950,950
bottled_water,1350,1350,1350
bowl,0,0,0
boxed_drink,1100,1100,1100
boxed_food,350,350,350
bread,1152,1154,1151
bread_flat,717,676,773
broccoli,100,100,100
brussel_sprout,700,700,700
burrito,571,571,571
cake,586,634,683
can,400,400,400
candle,1199,1200,1187
candy,493,525,523
canned_food,400,400,400
canola_oil,413,450,450
carrot,750,750,750
celery,300,300,300
cereal,1050,1062,1092
cheese,1100,1100,1100
cheese_grater,250,250,281
cherry,400,400,400
chicken_breast,489,501,526
chili_pepper,400,400,400
coffee_cup,400,400,400
condiment_bottle,150,150,150
corn,200,192,200
croissant,798,800,811
cucumber,900,850,879
cup,298,260,303
cupcake,1521,1550,1550
donut,316,755,854
dumpling,866,981,985
egg,1400,1400,1400
eggplant,600,597,573
fish,679,620,642
garlic,900,899,900
ginger,350,350,350
grapes,576,614,650
honey_bottle,800,800,800
hot_dog,850,875,873
ice_cream,650,650,650
jam,1300,1300,1300
jello_cup,447,447,450
jug,471,541,592
jug_wide_opening,91,123,142
kebabs,530,550,550
ketchup,400,400,400
kettle_non_electric,923,1033,1000
kiwi,850,850,850
ladle,309,293,276
lamb_chop,321,350,350
lemon,1491,1500,1500
lemonade,300,300,300
lime,151,151,154
liquor,550,550,550
lobster,275,383,396
mango,1100,1100,1100
milk,400,400,400
mug,346,293,339
mushroom,1134,1150,1150
olive_oil_bottle,350,350,350
onion,436,450,450
orange,900,900,900
pan,8,28,50
peach,900,900,900
peanut_butter,580,643,650
pear,1300,1300,1300
pickle,300,350,350
pitcher,204,285,312
pizza_cutter,100,150,150
pomegranate,350,350,333
pot,4,14,50
potato,1468,1482,1482
rolling_pin,278,300,300
saucepan,17,50,50
scallops,695,695,650
shaker,550,550,550
shrimp,450,443,450
soap_dispenser,276,275,267
sponge,756,772,800
spray,150,155,155
squash,400,389,400
steak,676,629,703
strawberry,500,500,500
sushi,650,650,650
sweet_potato,750,750,750
syrup_bottle,600,595,600
tangerine,1000,1000,1000
teapot,509,523,464
thermos,100,100,100
tomato,850,850,850
tongs,49,63,100
walnut,400,400,400
water_bottle,875,874,900
whisk,429,450,450
wine,0,15,10
wine_glass,150,200,250
yogurt,489,500,500
